name,review,date,rating
Arka Poddar,,3 years ago, 5 stars 
Gourab Kirtania,,2 years ago, 5 stars 
Prasad Sahu,,2 years ago, 5 stars 
Sobit Thapa,,4 years ago, 5 stars 
Rajeev Roushan,,2 years ago, 3 stars 
Avishek Adhikary,,a year ago, 5 stars 
Aditya Sarkar,,2 years ago, 5 stars 
Sougata Ghosh,,2 weeks ago, 5 stars 
Palash Paul,,a year ago, 4 stars 
Sourav Mondal,,6 years ago, 5 stars 
Soujit Dey,,4 months ago, 5 stars 
Soumil Sanghvi,,2 years ago, 4 stars 
Mainak kumar Ghosh,,2 years ago, 5 stars 
A B,,2 years ago, 5 stars 
Muntasir Mamun,,2 years ago, 4 stars 
Sushanta Kumar Mitra,,2 years ago, 3 stars 
RAJARSHI RAY,,2 years ago, 5 stars 
Chandrachur Nandy,,2 years ago, 5 stars 
Oindrila Balial,,a year ago, 4 stars 
Dipanjan Chakraborty,,2 years ago, 3 stars 
Biswajit Paul,,3 weeks ago, 5 stars 
Md Shahanshah,,3 years ago, 5 stars 
santu dhara,,2 years ago, 3 stars 
Fekua1984 Dharam84t,,4 years ago, 5 stars 
Palash Mondal,,2 years ago, 3 stars 
Pratim Roy,,2 years ago, 5 stars 
sumon mukherjee,,3 years ago, 4 stars 
vikash mishra,,a year ago, 2 stars 
Anirban Chakraborty,,4 years ago, 5 stars 
Shivayan Mukherjee,,2 years ago, 2 stars 
PREM CHAND,,5 years ago, 5 stars 
Ashish Kumar,,2 years ago, 4 stars 
Soumyajit Ghosh,,4 years ago, 4 stars 
Sanjib Gupta,,3 years ago, 5 stars 
Som N Kundu,,2 years ago, 5 stars 
Divine,,a year ago, 5 stars 
Atanu Ghosh,,3 years ago, 5 stars 
Sheena Chandnani,,a year ago, 5 stars 
Vinay Thakur,,2 years ago, 5 stars 
kiran pal,,a year ago, 4 stars 
Peeyasa Sarkar,,2 years ago, 3 stars 
sourav ghosh,,2 years ago, 5 stars 
Tamonash Gupta,,a year ago, 5 stars 
Dibyashree Jana,,a year ago, 5 stars 
Debashis Mandal,,3 years ago, 1 star 
S Paul,,2 years ago, 5 stars 
Avishek Mukherjee,,a year ago, 5 stars 
Apurba Ram,,2 years ago, 1 star 
S B,,2 years ago, 5 stars 
Mithun Haldar,,2 years ago, 5 stars 
bikash sahu,,2 years ago, 4 stars 
Jyotesh Gupta,,4 years ago, 2 stars 
Arijit Banerjee,,3 years ago, 4 stars 
Arindum Das,,3 years ago, 4 stars 
naomy hyvonen,,8 months ago, 5 stars 
Tapan Biswas,,3 years ago, 5 stars 
Mayukh Chak,,3 years ago, 4 stars 
samarjeet singh,,2 years ago, 4 stars 
Sayan Samajdar,,4 years ago, 4 stars 
pawan chauhan,,4 years ago, 3 stars 
Sabyasachi Halder,,3 years ago, 1 star 
Shivshankar Singh,,3 years ago, 3 stars 
Ram Vinay Mandal,,9 months ago, 3 stars 
subhajit debnath,,a year ago, 5 stars 
Francis Hawken,,a year ago, 5 stars 
Tanuja Guha,,2 years ago, 5 stars 
Abhijit Mondal,,a year ago, 2 stars 
naina yasmin,,3 months ago, 5 stars 
WORMONO,,3 months ago, 5 stars 
Kanuohs Attad,,2 years ago, 5 stars 
Animesh Das,,2 years ago, 4 stars 
Satyaki Chakraborty,,a year ago, 3 stars 
Tuhin Suvra Biswas,,3 years ago, 5 stars 
Bimal Samanta,,3 years ago, 2 stars 
Soumya Banerjee,,3 years ago, 5 stars 
Sumanta Garai,,3 years ago, 5 stars 
MONOJIT DAS,,3 years ago, 3 stars 
Aniruddha Mandal,,3 years ago, 3 stars 
SUMANTA KUNDU,,a year ago, 5 stars 
Satyaki Neal Chakraborty,,4 years ago, 5 stars 
Tapas Mukherjee,,3 years ago, 5 stars 
Rajat Sasmal,,a year ago, 4 stars 
Deep Saha,,10 months ago, 5 stars 
SHALAHUDDIN KHAN,,3 years ago, 5 stars 
Poulomi Ghosh,,a year ago, 5 stars 
Mirza Iftekaruddin,,2 years ago, 4 stars 
Mrinmoy Roy Chowdhury,,a year ago, 5 stars 
ray papu,,3 years ago, 3 stars 
Projesh Pal,,3 years ago, 5 stars 
Palash Pramanick,,3 years ago, 5 stars 
swarnabha paul,,a year ago, 4 stars 
Anindya Mukherjee,,3 years ago, 5 stars 
Kiran More,,5 months ago, 1 star 
DIPAYAN PRAMANIK,,2 years ago, 3 stars 
Debajyoti Ash,,2 years ago, 5 stars 
Krishnanjan Ghosh,,a year ago, 5 stars 
Tridib Roy,,2 years ago, 5 stars 
Koushik kumar Roy,,3 years ago, 5 stars 
Monisankar Santra,,3 years ago, 5 stars 
pallab mandal,,3 years ago, 4 stars 
Sourav Basu Roy,,2 years ago, 5 stars 
Dipankar Pal,,11 months ago, 5 stars 
Lalit Jhunjhunwala,,2 years ago, 5 stars 
Soutrik Sengupta,,4 years ago, 5 stars 
Mukesh Pandit,,2 years ago, 4 stars 
Sushovan Mukherjee,,2 years ago, 5 stars 
Krishnendu Halder,,2 years ago, 4 stars 
Abhirup Patra,,2 years ago, 5 stars 
Samadrita,,2 years ago, 2 stars 
Sonu Gupta,,4 years ago, 1 star 
Subhajit Mitra,,2 years ago, 3 stars 
Ribhu Chakraborty,,2 years ago, 5 stars 
Sutapa roy nandi,,5 years ago, 5 stars 
Samrat Sarkar,,2 years ago, 3 stars 
Swagato Bhattacharjee,,3 years ago, 5 stars 
Jason Brown,,3 years ago, 5 stars 
A D,,2 years ago, 5 stars 
Sanat Roy,,a year ago, 3 stars 
Arup Nayak,,a year ago, 5 stars 
Sumon Kumar Pathak,,2 years ago, 4 stars 
Debobrata Sinha,,4 years ago, 5 stars 
Raviraj Jaiswal,,a year ago, 5 stars 
